"id";"Sample";"Size";"Type";"Color";"Number"
"1";"EM22-01";"2.5 - 5";"Line";"Blue";"1"
"2";"EM22-01";"1 - 2.5";"Fragment";"White";"4"
"3";"EM22-02";">5";"Fragment";"Grey";"4"
"4";"EM22-02";">5";"Fragment";"Blue";"1"
"5";"EM22-02";">5";"Fragment";"Green";"1"
"6";"EM22-02";">5";"Fragment";"White";"6"
"7";"EM22-02";">5";"Fragment";"Red";"1"
"8";"EM22-02";">5";"Fragment";"Transparent";"3"
"9";"EM22-02";">5";"Film";"White";"1"
"10";"EM22-02";">5";"Film";"Transparent";"7"
"11";"EM22-02";">5";"Line";"Green";"3"
"12";"EM22-02";">5";"Line";"White";"1"
"13";"EM22-02";">5";"Line";"Red";"1"
"14";"EM22-02";">5";"Line";"Transparent";"1"
"15";"EM22-02";">5";"Foam";"White";"2"
"16";"EM22-02";"2.5 - 5";"Fragment";"Black";"2"
"17";"EM22-02";"2.5 - 5";"Fragment";"green";"1"
"18";"EM22-02";"2.5 - 5";"Fragment";"White";"3"
"19";"EM22-02";"2.5 - 5";"Fragment";"Yellow";"1"
"20";"EM22-02";"2.5 - 5";"Fragment";"Transparent";"2"
"21";"EM22-02";"2.5 - 5";"Film";"Blue";"1"
"22";"EM22-02";"2.5 - 5";"Film";"White";"1"
"23";"EM22-02";"2.5 - 5";"Film";"Transparent";"4"
"24";"EM22-02";"2.5 - 5";"Line";"Green";"1"
"25";"EM22-02";"1 - 2.5";"Fragment";"Grey";"5"
"26";"EM22-02";"1 - 2.5";"Fragment";"Blue";"6"
"27";"EM22-02";"1 - 2.5";"Fragment";"green";"2"
"28";"EM22-02";"1 - 2.5";"Fragment";"White";"30"
"29";"EM22-02";"1 - 2.5";"Fragment";"Yellow";"2"
"30";"EM22-02";"1 - 2.5";"Fragment";"Orange";"2"
"31";"EM22-02";"1 - 2.5";"Fragment";"Transparent";"36"
"32";"EM22-02";"1 - 2.5";"Film";"Grey";"9"
"33";"EM22-02";"1 - 2.5";"Film";"Blue";"1"
"34";"EM22-02";"1 - 2.5";"Film";"White";"3"
"35";"EM22-02";"1 - 2.5";"Film";"Orange";"1"
"36";"EM22-02";"1 - 2.5";"Film";"Transparent";"22"
"37";"EM22-02";"1 - 2.5";"Line";"Orange";"1"
"38";"EM22-03";">5";"Fragment";"Green";"1"
"39";"EM22-03";">5";"Fragment";"Transparent";"1"
"40";"EM22-03";">5";"Film";"Transparent";"2"
"41";"EM22-03";">5";"Line";"White";"2"
"42";"EM22-03";"2.5 - 5";"Fragment";"Green";"1"
"43";"EM22-03";"2.5 - 5";"Fragment";"White";"4"
"44";"EM22-03";"2.5 - 5";"Fragment";"Transparent";"1"
"45";"EM22-03";"2.5 - 5";"Film";"Transparent";"3"
"46";"EM22-03";"1 - 2.5";"Fragment";"Black";"1"
"47";"EM22-03";"1 - 2.5";"Fragment";"Blue";"2"
"48";"EM22-03";"1 - 2.5";"Fragment";"White";"9"
"49";"EM22-03";"1 - 2.5";"Fragment";"Transparent";"4"
"50";"EM22-04";">5";"Fragment";"Green";"1"
"51";"EM22-04";">5";"Fragment";"White";"2"
"52";"EM22-04";">5";"Fragment";"Transparent";"2"
"53";"EM22-04";">5";"Film";"Transparent";"2"
"54";"EM22-04";">5";"Line";"White";"3"
"55";"EM22-04";">5";"Line";"Yellow";"1"
"56";"EM22-04";"2.5 - 5";"Fragment";"Transparent";"3"
"57";"EM22-04";"2.5 - 5";"Film";"Transparent";"4"
"58";"EM22-04";"2.5 - 5";"Line";"White";"1"
"59";"EM22-04";"1 - 2.5";"Fragment";"Black";"3"
"60";"EM22-04";"1 - 2.5";"Fragment";"Blue";"2"
"61";"EM22-04";"1 - 2.5";"Fragment";"Green";"1"
"62";"EM22-04";"1 - 2.5";"Fragment";"White";"8"
"63";"EM22-04";"1 - 2.5";"Fragment";"Yellow";"3"
"64";"EM22-04";"1 - 2.5";"Fragment";"Transparent";"12"
"65";"EM22-04";"1 - 2.5";"Film";"Transparent";"1"
"66";"EM22-04";"1 - 2.5";"Line";"White";"1"
"67";"EM22-05";">5";"Fragment";"Black";"3"
"68";"EM22-05";">5";"Fragment";"White";"10"
"69";"EM22-05";">5";"Fragment";"Orange";"1"
"70";"EM22-05";">5";"Fragment";"Transparent";"2"
"71";"EM22-05";">5";"Film";"Black";"1"
"72";"EM22-05";">5";"Film";"Blue";"1"
"73";"EM22-05";">5";"Film";"Green";"1"
"74";"EM22-05";">5";"Film";"White";"12"
"75";"EM22-05";">5";"Film";"Transparent";"38"
"76";"EM22-05";">5";"Line";"Black";"3"
"77";"EM22-05";">5";"Line";"Blue";"2"
"78";"EM22-05";">5";"Line";"green";"4"
"79";"EM22-05";">5";"Line";"White";"3"
"80";"EM22-05";">5";"Line";"Orange";"1"
"81";"EM22-05";">5";"Line";"Transparent";"3"
"82";"EM22-05";">5";"Line";"Multicolor";"1"
"83";"EM22-05";"2.5 - 5";"Fragment";"Black";"6"
"84";"EM22-05";"2.5 - 5";"Fragment";"Blue";"4"
"85";"EM22-05";"2.5 - 5";"Fragment";"White";"7"
"86";"EM22-05";"2.5 - 5";"Fragment";"Yellow";"1"
"87";"EM22-05";"2.5 - 5";"Fragment";"Transparent";"12"
"88";"EM22-05";"2.5 - 5";"Film";"Blue";"1"
"89";"EM22-05";"2.5 - 5";"Film";"White";"8"
"90";"EM22-05";"2.5 - 5";"Film";"Transparent";"47"
"91";"EM22-05";"2.5 - 5";"Line";"Blue";"1"
"92";"EM22-05";"2.5 - 5";"Line";"Green";"2"
"93";"EM22-05";"2.5 - 5";"Line";"White";"3"
"94";"EM22-05";"2.5 - 5";"Line";"Orange";"1"
"95";"EM22-05";"2.5 - 5";"Line";"Transparent";"3"
"96";"EM22-05";"2.5 - 5";"ESP";"White";"1"
"97";"EM22-05";"1 - 2.5";"Fragment";"Black";"14"
"98";"EM22-05";"1 - 2.5";"Fragment";"Blue";"5"
"99";"EM22-05";"1 - 2.5";"Fragment";"Green";"2"
"100";"EM22-05";"1 - 2.5";"Fragment";"White";"53"
"101";"EM22-05";"1 - 2.5";"Fragment";"Yellow";"2"
"102";"EM22-05";"1 - 2.5";"Fragment";"Orange";"1"
